isoform	p-value_lowest	effector_score
SNOO_002520A_1	0.367879441	-2.262
SNOO_094410A_1	0.04706872	-0.16
SNOO_307080A_1	0.022564759	-3.346
SNOO_307080A_2	0.001792394	-3.346
SNOO_027180A_1	0.058893205	-3.346
SNOO_027180A_2	0.06225117	-3.346
SNOO_422510A_1	0.166263094	-1.681
SNOO_443750A_1	0.050083491	-0.738
SNOO_443750A_2	0.009359092	-0.738
SNOO_547940_1	0.027686347	-3.423
SNOO_421650A_1	0.367879441	-2.401
SNOO_103630A_1	0.036303466	-1.509
SNOO_103630A_2	0.036303466	-1.509
SNOO_508320_1	0.142795309	-2.319
SNOO_426090A_1	0.038281702	-3.088
SNOO_426090A_2	0.012614752	-3.088
SNOO_049000A_1	0.026680031	-2.736
SNOO_049000A_2	0.012862918	-2.736
SNOO_049000A_3	0.006548858	-2.736
SNOO_559830_1	0.078224591	-1.78
SNOO_134140A_1	0.0439208	-2.149
SNOO_134140A_2	0.0439208	-2.149
SNOO_141930A_1	0.009571652	-3.346
SNOO_098300A_1	0.006857138	-2.943
SNOO_098300A_2	0.049219345	-2.943
SNOO_010420A_1	0.039484464	-2.265
SNOO_010420A_2	0.120656671	-2.265
SNOO_201640A_1	0.010556665	-3.122
SNOO_156130A_1	0.054477295	2.531
SNOO_504300_1	0.030659534	-0.522
SNOO_504300_2	0.037466338	-0.522
SNOO_141580A_1	0.021865825	-3.182
SNOO_141580A_2	0.037437992	-3.182
SNOO_401940A_1	0.048951049	-2.634
SNOO_401940A_2	0.002685147	-2.634
SNOO_114810A_1	0.034196495	0.802
SNOO_114810A_2	0.048951049	0.802
SNOO_131590A_1	0.367879441	-1.143
SNOO_442960A445480A_1	0.058164158	
SNOO_442960A445480A_2	0.078292094	
SNOO_442960A445480A_3	0.025327557	
SNOO_442960A445480A_4	0.023556514	
SNOO_442960A445480A_5	0.012862918	
SNOO_442960A445480A_6	0.020919218	
SNOO_157430A_1	0.001952181	-2.163
SNOO_157430A_2	0.001595611	-2.163
SNOO_165290A_1	0.167778186	-2.144
SNOO_124070A_1	0.049805356	-2.726
SNOO_124070A_2	0.020530512	-2.726
SNOO_002050A_1	0.019494577	-2.691
SNOO_002050A_2	0.001239537	-2.691
SNOO_063080A_1	0.009623451	-3.196
SNOO_063080A_2	0.02630682	-3.196
SNOO_010310A_1	0.010537775	-3.346
SNOO_010310A_2	0.004718291	-3.346
SNOO_010310A_3	0.00578903	-3.346
SNOO_097060A_1	0.082911338	-3.088
SNOO_012550A_1	0.019830195	-2.76
SNOO_012550A_2	0.013456204	-2.76
SNOO_307150A_1	0.028587675	0.382
SNOO_307150A_2	0.01289161	0.382
SNOO_400980A_1	0.004331255	-2.585
SNOO_400980A_2	0.022812922	-2.585
SNOO_615810_1	0.183846767	-1.781
SNOO_002410A_1	0.367879441	-3.088
SNOO_035700A_1	0.003858875	-2.646
SNOO_035700A_2	0.028945913	-2.646
SNOO_580050_1	0.012014433	-1.086
SNOO_580050_2	0.038663895	-1.086
SNOO_419020A_1	0.367879441	-1.918
SNOO_150160A_1	0.367879441	-3.088
SNOO_109640A_1	0.012826016	-2.523
SNOO_109640A_2	0.033115135	-2.523
SNOO_109640A_3	0.034054526	-2.523
SNOO_109640A_4	0.026259051	-2.523
SNOO_145770A_1	0.002948715	-3.357
SNOO_525460_1	0.012862918	-2.636
SNOO_112080A_1	0.012862918	-2.967
SNOO_112080A_2	0.119576984	-2.967
SNOO_138080A_1	0.01715665	-1.897
SNOO_414980A_1	0.029305309	-2.834
SNOO_058230A_1	0.020354394	-1.015
SNOO_058230A_2	0.018735864	-1.015
SNOO_100460A_1	0.054848529	-2.312
SNOO_431570A_1	0.367879441	-2.049
SNOO_504220_1	0.035373023	-2.0
SNOO_131600A_1	0.026680031	-1.066
SNOO_131600A_2	0.032663956	-1.066
SNOO_131600A_3	0.003045032	-1.066
SNOO_439180A_1	0.001543352	-0.117
SNOO_439680A_1	0.04456478	2.691
SNOO_300540A_1	0.061828958	-1.256
SNOO_300540A_2	0.061828958	-1.256
SNOO_444320A_1	0.025390156	-3.057
SNOO_444320A_2	0.053884794	-3.057
SNOO_444320A_3	0.035373023	-3.057
SNOO_630190_1	0.203050341	-2.925
SNOO_565160_1	0.002175458	-0.552
SNOO_565160_2	0.002175458	-0.552
SNOO_143070A_1	0.367879441	-2.971
SNOO_308360A_1	0.1648291	-1.903
SNOO_089230A_1	0.012862918	-3.068
SNOO_089230A_2	0.012862918	-3.068
SNOO_025750A_1	0.367879441	-3.346
SNOO_037680A_1	0.367879441	-2.66
SNOO_081320A_1	0.142795309	-3.28
SNOO_146450A_1	0.023545044	-2.405
SNOO_146450A_2	0.009074011	-2.405
SNOO_300620A_1	0.068974657	-0.601
SNOO_300620A_2	0.003390146	-0.601
SNOO_129610A_1	0.001086556	-0.953
SNOO_044590A_1	0.142795309	-3.362
SNOO_538080_1	0.0022066	-2.634
SNOO_538080_2	0.00362617	-2.634
SNOO_655750_1	0.367879441	-2.909
SNOO_425650A_1	0.009564213	-2.547
SNOO_425650A_2	0.001409295	-2.547
SNOO_086360A_1	0.048297778	-2.12
SNOO_086360A_2	0.052446665	-2.12
SNOO_043340A_1	0.367879441	-3.059
SNOO_072970A_1	0.04501225	-2.814
SNOO_527680_1	0.01499688	-2.633
SNOO_304570A_1	0.092587108	-3.28
SNOO_306660A_1	0.046773571	-2.559
SNOO_095230A_1	0.01010724	-0.317
SNOO_095230A_2	0.002195518	-0.317
SNOO_046410A_1	0.043944528	-3.361
SNOO_082300A_1	0.016693984	-2.964
SNOO_082300A_2	0.009359092	-2.964
SNOO_419030A_1	0.069854728	-2.296
SNOO_140030A_1	0.025390156	-0.279
SNOO_140030A_2	0.025390156	-0.279
SNOO_629880_1	0.037501015	-2.682
SNOO_085420A_1	0.079257671	-0.893
SNOO_085420A_2	0.04072722	-0.893
SNOO_580770_1	0.091308207	-3.35
SNOO_023190A_1	0.035716963	-1.532
SNOO_138730A_1	0.001046818	-3.346
SNOO_138730A_2	0.003858875	-3.346
SNOO_113960A_1	0.041950738	-3.06
SNOO_578720_1	0.091363544	-0.831
SNOO_161590A_1	0.050465053	-1.935
SNOO_161590A_2	0.030164001	-1.935
SNOO_429540A_1	0.367879441	0.01
SNOO_414880A_1	0.093055273	-1.27
SNOO_448190A_1	0.017521888	-2.819
SNOO_448190A_2	0.072195028	-2.819
SNOO_448190A_3	0.023587147	-2.819
SNOO_137550A_1	0.072416383	-3.346
SNOO_137550A_2	0.072416383	-3.346
SNOO_122430A_1	0.001331767	-3.347
SNOO_122430A_2	0.000345578	-3.347
SNOO_122430A_3	0.001745466	-3.347
SNOO_112840A_1	0.046246355	-3.337
SNOO_112840A_2	0.011442014	-3.337
SNOO_034010A_1	0.048951049	-3.114
SNOO_034010A_2	0.014277389	-3.114
SNOO_085020A_1	0.175298257	-3.187
SNOO_303880A_1	0.066110769	-2.836
SNOO_059110A_1	0.013247276	-2.216
SNOO_059110A_2	0.004380108	-2.216
SNOO_121450A_1	0.016534014	-1.557
SNOO_121450A_2	0.038957291	-1.557
SNOO_106340A_1	0.015991261	-2.66
SNOO_106340A_2	0.015991261	-2.66
SNOO_108530A_1	0.001279269	0.518
SNOO_108530A_2	0.000339403	0.518
SNOO_126210A_1	0.033056966	-2.218
SNOO_509240_1	0.01603737	-3.346
SNOO_509240_2	0.044592544	-3.346
SNOO_056810A_1	0.015494306	-2.645
SNOO_042780A_1	0.067226295	1.564
SNOO_414670A_1	0.100185407	-1.322
SNOO_162830A_1	0.000388674	-3.042
SNOO_441100A_1	0.085023771	-1.931
SNOO_094830A_1	0.011920033	0.18
SNOO_094830A_2	0.000450913	0.18
SNOO_118200A_1	0.367879441	-3.209
SNOO_063730A_1	0.002389727	-3.067
SNOO_011840A_1	0.367879441	-2.278
SNOO_015210A_1	0.367879441	-3.181
SNOO_036450A_1	0.019143304	-2.769
SNOO_421920A_1	0.001078782	-3.346
SNOO_421920A_2	0.033950758	-3.346
SNOO_058170A_1	0.020950833	-1.018
SNOO_058170A_2	0.020950833	-1.018
SNOO_116980A_1	0.001137527	0.382
SNOO_116980A_2	0.010266007	0.382
SNOO_057330A_1	0.040615201	-2.403
SNOO_057330A_2	0.047608478	-2.403
SNOO_152610A_1	0.017459415	-1.479
SNOO_152610A_2	0.012204871	-1.479
SNOO_425320A_1	0.367879441	-2.784
SNOO_153000A_1	0.040053461	-3.059
SNOO_153000A_2	0.030251606	-3.059
SNOO_433190A_1	0.032291081	-0.053
SNOO_163740A_1	0.025327557	0.268
SNOO_037840A_1	0.0290938	-1.754
SNOO_037840A_2	0.009618696	-1.754
SNOO_037840A_3	0.025688588	-1.754
SNOO_144310A_1	0.049261953	-3.346
SNOO_144310A_2	0.036921464	-3.346
SNOO_144310A_3	0.015812394	-3.346
SNOO_301310A_1	0.031717609	-3.03
SNOO_408350A_1	0.166263094	-1.144
SNOO_023740A_1	0.367879441	-1.944
SNOO_424950A_1	0.019575482	-2.736
SNOO_424950A_2	0.07899509	-2.736
SNOO_123310A_1	0.022674394	-2.994
SNOO_563780_1	0.073785151	-1.559
SNOO_563780_2	0.078548557	-1.559
SNOO_028590A_1	0.003315496	-1.877
SNOO_147040A_1	0.025065486	-2.245
SNOO_147040A_2	0.039484464	-2.245
SNOO_068540A_1	0.052304507	-3.121
SNOO_082220A_1	0.012312508	-2.212
SNOO_048960A_1	0.012862918	-1.578
SNOO_048960A_2	0.018393072	-1.578
SNOO_510270_1	0.367879441	-3.346
SNOO_075600A_1	0.1648291	-3.042
SNOO_075600A_2	0.026305951	-3.042
SNOO_075600A_3	0.114517982	-3.042
SNOO_075600A_4	0.015282893	-3.042
SNOO_623850_1	0.063202364	-3.087
SNOO_201580A_1	0.367879441	-1.618
SNOO_201580A_1	0.367879441	-2.54
SNOO_103860A_1	0.018016004	-2.971
SNOO_103860A_2	0.018016004	-2.971
SNOO_037900A_1	0.367879441	-2.148
SNOO_018060A_1	0.185174215	-1.281
SNOO_115620A_1	0.045001502	-2.721
SNOO_115620A_2	0.016503114	-2.721
SNOO_510450_1	0.053627845	-1.783
SNOO_510450_2	0.084895256	-1.783
SNOO_070040A_1	0.367879441	-1.813
SNOO_122120A_1	0.041439683	-2.156
SNOO_122120A_2	0.031922337	-2.156
SNOO_109070A_1	0.034557257	-1.341
SNOO_115820A_1	0.092587108	-2.278
SNOO_099880A_1	0.022316165	-3.337
SNOO_099880A_2	0.03239105	-3.337
SNOO_529930_1	0.019563557	-3.37
SNOO_029240A_1	0.006300158	-3.346
SNOO_029240A_2	0.044592544	-3.346
SNOO_029240A_3	0.01603737	-3.346
SNOO_093460A_1	0.000397218	-2.84
SNOO_093460A_2	0.000739202	-2.84
SNOO_004320A_1	0.367879441	-0.418
SNOO_426350A_1	0.109280907	-2.922
SNOO_581030_1	0.367879441	-2.372
SNOO_538520_1	0.035373023	-2.848
SNOO_006730A_1	0.012826016	-2.618
SNOO_006730A_2	0.012862918	-2.618
SNOO_073400A_1	0.0445347	-2.934
SNOO_073400A_2	0.046922967	-2.934
SNOO_073400A_3	0.0600762	-2.934
SNOO_056660A_1	0.367879441	-3.346
SNOO_416700A_1	0.367879441	-2.294
SNOO_025420A_1	0.01812599	-1.886
SNOO_581050_1	9.27e-05	-3.139
SNOO_113640A_1	0.165545749	-1.154
SNOO_421840A_1	0.024419125	-3.044
SNOO_421840A_2	0.016606794	-3.044
SNOO_421840A_3	0.010083862	-3.044
SNOO_025560A_1	0.015766814	1.578
SNOO_079190A_1	0.019809338	-3.231
SNOO_401650A_1	0.012862918	-2.413
SNOO_401650A_2	0.012862918	-2.413
SNOO_400640A_1	0.015579311	-2.735
SNOO_400640A_2	0.006904981	-2.735
SNOO_012630A_1	0.367879441	-2.317
SNOO_082120A_1	0.00868926	-2.15
SNOO_082120A_2	0.056979235	-2.15
SNOO_138090A_1	0.030655363	-2.627
SNOO_138090A_2	0.017729027	-2.627
SNOO_070370A_1	0.367879441	-3.151
SNOO_012770A_1	0.019809338	-3.015
SNOO_306180A_1	0.019039021	-1.074
SNOO_306180A_2	0.016784349	-1.074
SNOO_518080_1	0.029313518	-2.557
SNOO_050590A_1	0.012862918	-3.013
SNOO_135580A_1	0.063222901	-1.968
SNOO_135580A_2	0.012862918	-1.968
SNOO_043470A_1	0.052459139	-0.475
SNOO_302090A_1	0.010537775	-2.306
SNOO_302090A_2	0.001884209	-2.306
SNOO_505600_1	0.053454616	-0.07
SNOO_413160A_1	0.367879441	-2.751
SNOO_412910A_1	0.00435478	-2.95
SNOO_412680A_1	0.028890223	-2.87
SNOO_159230A_1	0.091308207	-2.624
SNOO_034550A_1	0.142795309	0.7
SNOO_441000A_1	0.012862918	-3.062
SNOO_159040A_1	0.142795309	-2.089
SNOO_439230A_1	0.064088354	-2.809
SNOO_082760A_1	0.165545749	-2.055
SNOO_000430A_1	0.061739201	-2.889
SNOO_000430A_2	0.035373023	-2.889
SNOO_000430A_3	0.039039168	-2.889
SNOO_077500A_1	0.142795309	-3.28
SNOO_136700A_1	0.175298257	-2.959
SNOO_029130A_1	0.054702445	-1.848
SNOO_029130A_2	0.006766757	-1.848
SNOO_633450_1	0.002235006	-2.644
SNOO_633450_2	0.017787129	-2.644
SNOO_633450_3	0.041776772	-2.644
SNOO_075200A_1	0.018279813	-2.6
SNOO_075200A_2	0.003410482	-2.6
SNOO_075200A_3	0.059356202	-2.6
SNOO_524160_1	0.05412867	-2.883
SNOO_087560A_1	0.011520512	-3.038
SNOO_087560A_2	0.001769402	-3.038
SNOO_087560A_3	0.073259016	-3.038
SNOO_443550A_1	0.067226295	-2.83
SNOO_030370A_1	0.012367345	-3.348
SNOO_030370A_2	0.000967595	-3.348
SNOO_430740A_1	0.028051818	2.375
SNOO_430740A_2	0.002841441	2.375
SNOO_430740A_3	0.031842784	2.375
SNOO_062710A_1	0.029763903	-3.338
SNOO_062710A_2	0.003262124	-3.338
SNOO_089910A_1	0.367879441	-3.122
SNOO_117170A_1	0.011180686	-2.114
SNOO_117170A_2	0.03181594	-2.114
SNOO_157110A_1	0.037990249	-2.562
SNOO_157110A_2	0.012862918	-2.562
SNOO_423590A_1	0.006116059	-3.348
SNOO_613400_1	0.039040016	-3.032
SNOO_613400_2	0.046321766	-3.032
SNOO_613400_3	0.058834937	-3.032
SNOO_400950A_1	0.095814963	-0.496
SNOO_060450A_1	0.035373023	-3.346
SNOO_060450A_2	0.035373023	-3.346
SNOO_115080A_1	0.023517058	-0.213
SNOO_115080A_2	0.002150861	-0.213
SNOO_000170A_1	0.015391142	-3.115
SNOO_000170A_2	0.035373023	-3.115
SNOO_102350A_1	0.002235006	-2.772
SNOO_102350A_2	0.017132013	-2.772
SNOO_102350A_3	0.005737532	-2.772
SNOO_003250A_1	0.002095012	-3.338
SNOO_096190A_1	0.044743432	-3.312
SNOO_419050A_1	0.035880945	-2.916
SNOO_419050A_2	0.071286148	-2.916
SNOO_558470_1	0.023181691	-3.154
SNOO_558470_2	0.084895256	-3.154
SNOO_401290A_1	0.038917567	-2.983
SNOO_072600A_1	0.040352752	-2.73
SNOO_200760A_1	0.012862918	-2.401
SNOO_005600A_1	0.109999993	-3.337
SNOO_141830A_1	0.007124143	-2.486
SNOO_057700A_1	0.022099977	-2.154
SNOO_085410A_1	0.057353902	-3.042
SNOO_620320_1	0.142795309	-0.603
SNOO_033650A_1	0.042459074	-2.626
SNOO_047300A_1	0.062136304	-2.959
SNOO_047300A_2	0.009888502	-2.959
SNOO_031870A_1	0.367879441	-3.407
SNOO_404520A_1	0.367879441	-2.925
SNOO_038590A_1	0.057688885	-2.818
SNOO_027590A_1	0.022674394	-3.346
SNOO_649840_1	0.01693716	-3.346
SNOO_446260A_1	0.023505581	0.263
SNOO_446260A_2	0.015016096	0.263
SNOO_431640A_1	0.08100698	-2.607
SNOO_052410A_1	0.007586511	-3.375
SNOO_068640A_1	0.016685947	-3.087
SNOO_418700A_1	0.367879441	-2.75
SNOO_445120A_1	0.025628976	-0.033
SNOO_445120A_2	0.035373023	-0.033
SNOO_445120A_3	0.020680361	-0.033
SNOO_156830A_1	0.367879441	-3.362
SNOO_073240A_1	0.024111601	-1.886
SNOO_073240A_2	0.030479705	-1.886
SNOO_003750A_1	0.02442598	-1.329
SNOO_412380A_1	0.367879441	-2.178
SNOO_118450A_1	0.028277189	-2.46
SNOO_118450A_2	0.054376163	-2.46
SNOO_513080_1	0.011849417	-2.82
SNOO_513080_2	0.004179981	-2.82
SNOO_513080_3	0.037180841	-2.82
SNOO_513080_4	0.021842649	-2.82
SNOO_093920A_1	5.19e-05	-3.216
SNOO_093920A_2	0.0785654	-3.216
SNOO_093920A_3	2.01e-05	-3.216
SNOO_426330A_1	0.302449381	-2.999
SNOO_550020_1	0.013528346	-2.879
SNOO_019570A_1	0.367879441	-2.483
SNOO_440780A_1	0.028789757	-2.962
SNOO_440780A_2	0.03181594	-2.962
SNOO_028740A_1	0.367879441	-2.042
SNOO_111860A_1	0.059745016	-2.951
SNOO_111860A_2	0.003099582	-2.951
SNOO_154890A_1	0.032597636	-2.465
SNOO_057580A_1	0.012862918	-3.28
SNOO_136930A_1	0.367879441	-3.181
SNOO_507370_1	0.025357602	-2.973
SNOO_507370_2	0.034685704	-2.973
SNOO_093550A_1	0.054848529	-3.022
SNOO_439750A_1	0.009334891	-0.619
SNOO_439750A_2	0.012862918	-0.619
SNOO_159350A_1	0.367879441	-1.795
SNOO_037970A_1	0.019543576	-1.278
SNOO_081720A_1	0.003763586	-3.316
SNOO_081720A_2	0.016542679	-3.316
SNOO_105010A_1	0.009623183	-3.162
SNOO_105010A_2	0.034762771	-3.162
SNOO_010970A_1	0.019564169	2.231
SNOO_010970A_2	0.001141572	2.231
SNOO_010970A_3	0.031233036	2.231
SNOO_200310A_1	0.001884209	-2.307
SNOO_200310A_2	0.006355447	-2.307
SNOO_444560A_1	0.03662188	-3.263
SNOO_444560A_2	0.050595295	-3.263
SNOO_520280_1	0.035373023	-1.959
SNOO_067540A_1	0.07384055	1.997
SNOO_067540A_2	0.090196306	1.997
SNOO_067540A_3	0.075139607	1.997
SNOO_201680A_1	0.367879441	-2.533
SNOO_136870A_1	0.051105101	-0.901
SNOO_516300_1	0.029313518	-2.432
SNOO_567760_1	0.034873351	-1.432
SNOO_567760_2	0.045531	-1.432
SNOO_077840A_1	0.007868764	-2.255
SNOO_077840A_2	0.007166958	-2.255
SNOO_135210A_1	0.000907974	-3.363
SNOO_135210A_2	0.022067018	-3.363
SNOO_062460A_1	0.067102105	-0.544
SNOO_062460A_2	0.073594068	-0.544
SNOO_307600A_1	0.037637743	-2.865
SNOO_432690A_1	0.035373023	-0.179
SNOO_432690A_2	0.035373023	-0.179
SNOO_067440A_1	0.006925349	-3.113
SNOO_067440A_2	0.012862918	-3.113
SNOO_056900A_1	0.006130001	-3.234
SNOO_056900A_2	0.003473418	-3.234
SNOO_122210A_1	0.014255202	-3.423
SNOO_122210A_2	0.029160971	-3.423
SNOO_055460A_1	0.023517058	-2.553
SNOO_055460A_2	0.040051142	-2.553
SNOO_055460A_3	0.037767887	-2.553
SNOO_044330A_1	0.035908348	-3.271
SNOO_044330A_2	0.017132013	-3.271
SNOO_412090A_1	0.097104674	-2.542
SNOO_412090A_2	0.04825453	-2.542
SNOO_408290A_1	0.367879441	-2.971
SNOO_516350_1	0.042765603	-1.955
SNOO_516350_2	0.042765603	-1.955
SNOO_427040A_1	0.012367345	-0.231
SNOO_427040A_2	0.003087741	-0.231
SNOO_026860A_1	0.003718327	-1.466
SNOO_026860A_2	0.013261753	-1.466
SNOO_430380A_1	0.029833484	-2.345
SNOO_515220_1	0.044472718	-3.013
SNOO_508930_1	0.020612592	-2.807
SNOO_086980A_1	0.075625096	-3.346
SNOO_420540A_1	0.367879441	-2.636
SNOO_159240A_1	0.003459663	-3.019
SNOO_159240A_2	0.008173586	-3.019
SNOO_093400A_1	0.185174215	-1.661
SNOO_513250_1	0.002103871	-3.057
SNOO_513250_2	0.048951049	-3.057
SNOO_161210A_1	0.027311243	-3.114
SNOO_161210A_2	0.012696557	-3.114
SNOO_047780A_1	0.003858875	-3.278
SNOO_047780A_2	0.012862918	-3.278
SNOO_125260A_1	0.017107452	-3.446
SNOO_437560A_1	0.367879441	-2.793
SNOO_111680A_1	0.01333056	-2.83
SNOO_111680A_2	0.014470009	-2.83
SNOO_111680A_3	0.018722572	-2.83
SNOO_447320A_1	0.367879441	0.54
SNOO_164100A_1	0.367879441	-3.088
SNOO_124840A_1	0.031042154	-2.923
SNOO_079380A_1	0.367879441	-2.402
SNOO_143420A_1	0.019524711	-3.043
SNOO_143420A_2	0.019524711	-3.043
SNOO_415840A_1	0.054848529	-1.504
SNOO_036180A_1	0.082896386	-1.926
SNOO_051880A_1	0.054848529	-2.561
SNOO_416340A_1	0.006355447	-1.946
SNOO_416340A_2	0.026843951	-1.946
SNOO_049750A_1	0.073257378	-2.25
SNOO_402950A_1	0.06017127	-3.371
SNOO_425090A_1	0.367879441	-1.973
SNOO_077270A_1	0.026683414	0.137
SNOO_077270A_2	0.023133565	0.137
SNOO_437350A_1	0.067697962	-1.921
SNOO_053430A_1	0.035373023	-3.346
SNOO_442120A_1	0.039350577	-3.338
SNOO_442120A_2	0.024189924	-3.338
SNOO_442120A_3	0.025803598	-3.338
SNOO_070420A_1	0.043077798	-2.29
SNOO_302990A_1	0.003873263	-2.93
SNOO_302990A_2	0.097348958	-2.93
SNOO_048540A_1	0.367879441	-3.378
SNOO_145260A_1	0.045818582	0.598
SNOO_145260A_2	0.013484595	0.598
SNOO_145260A_3	0.021281558	0.598
SNOO_145260A_4	0.029788452	0.598
SNOO_126280A_1	0.005330637	-3.524
SNOO_126280A_2	0.008136236	-3.524
SNOO_030330A_1	0.000532182	-3.088
SNOO_030330A_2	0.000169509	-3.088
SNOO_131220A_1	0.041145439	-0.057
SNOO_067680A_1	0.367879441	-2.494
SNOO_426480A_1	0.011446278	-2.891
SNOO_426480A_2	0.016861651	-2.891
SNOO_412860A_1	0.045412899	-2.747
SNOO_510100_1	0.091737201	-1.804
SNOO_510100_2	0.006517422	-1.804
SNOO_301470A_1	0.054848529	-3.28
SNOO_124870A_1	0.01812599	-2.237
SNOO_087430A_1	0.048951049	-2.121
SNOO_100060A_1	0.005469062	0.392
SNOO_100060A_2	0.042989146	0.392
SNOO_099970A_1	0.096847897	-2.375
SNOO_099970A_2	0.034267583	-2.375
SNOO_443360A_1	0.002511773	-2.533
SNOO_301280A_1	0.024118535	-2.239
SNOO_304890A_1	0.11043818	-0.512
SNOO_304890A_2	0.054076969	-0.512
SNOO_304890A_3	0.057552193	-0.512
SNOO_445450A_1	0.054722489	1.3
SNOO_067400A_1	0.003858875	-2.939
SNOO_067400A_2	0.003858875	-2.939
SNOO_103470A_1	0.035259419	-3.346
SNOO_103470A_2	0.035373023	-3.346
SNOO_103470A_3	0.019433142	-3.346
SNOO_443530A_1	0.367879441	-3.179
SNOO_086130A_1	0.04823707	-3.052
SNOO_078740A_1	0.108730761	-3.286
SNOO_408060A_1	0.132173732	-2.925
SNOO_090690A_1	0.019318705	-0.624
SNOO_090690A_2	0.023505581	-0.624
SNOO_421830A_1	0.016606794	-1.743
SNOO_421830A_2	0.014798811	-1.743
SNOO_136820A_1	0.035373023	-3.464
SNOO_136820A_2	0.035373023	-3.464
SNOO_112680A_1	0.048951049	-3.038
SNOO_112680A_2	0.092090876	-3.038
SNOO_112680A_3	0.035373023	-3.038
SNOO_420120A_1	0.012862918	-0.621
SNOO_119160A_1	0.012862918	-3.346
SNOO_029550A_1	0.011920033	-3.346
SNOO_029550A_2	0.017428801	-3.346
SNOO_115800A_1	0.066382967	-3.181
SNOO_556070_1	0.011900062	-2.269
SNOO_556070_2	0.011900062	-2.269
SNOO_137660A_1	0.009188429	-2.969
SNOO_137660A_2	0.007605248	-2.969
SNOO_083440A_1	0.018462438	-3.378
SNOO_083440A_2	0.025800386	-3.378
SNOO_635030_1	0.006691029	-2.529
SNOO_635030_2	0.006691029	-2.529
SNOO_157360A_1	0.004516139	-3.346
SNOO_045640A_1	0.005990542	-3.271
SNOO_045640A_2	0.009588997	-3.271
SNOO_062330AB_1	0.032554684	-3.039
SNOO_062330AB_2	0.007906492	-3.039
SNOO_414300A_1	0.000197059	-1.947
SNOO_110430A_1	0.142795309	0.953
SNOO_405600A_1	0.036477306	-2.517
SNOO_417750A_1	0.035373023	-1.405
SNOO_417750A_2	0.035373023	-1.405
SNOO_416420A_1	0.367879441	-2.916
SNOO_137080A_1	0.020029521	-2.144
SNOO_137080A_2	0.035373023	-2.144
SNOO_135920A_1	0.075842842	-2.964
SNOO_135920A_2	0.061685911	-2.964
SNOO_546560_1	0.012862918	-1.829
SNOO_431820A_1	0.142795309	-3.357
SNOO_114840A_1	0.040366783	-3.042
SNOO_114840A_2	0.071548252	-3.042
SNOO_119290A_1	0.011931662	1.831
SNOO_119290A_2	0.014263397	1.831
SNOO_515870_1	0.029313518	1.566
SNOO_026760A_1	0.175298257	-2.733
SNOO_524880_1	0.009903962	-1.778
SNOO_127730A_1	0.014497325	-2.274
SNOO_078040A_1	0.003858875	-0.949
SNOO_078040A_2	0.01072408	-0.949
SNOO_061680A_1	0.022201356	-3.346
SNOO_070330A_1	0.014277389	-3.174
SNOO_051850A_1	0.001944674	-2.283
SNOO_051850A_2	0.012862918	-2.283
SNOO_051850A_3	0.002188067	-2.283
SNOO_160680A_1	0.003858875	-2.434
SNOO_160680A_2	0.017826839	-2.434
SNOO_160680A_3	0.007906492	-2.434
SNOO_415580A_1	0.015551205	-2.971
SNOO_415580A_2	0.015551205	-2.971
SNOO_031570A_1	0.010461138	0.319
SNOO_031570A_2	0.016383089	0.319
SNOO_031570A_3	0.049913438	0.319
SNOO_305020A_1	0.367879441	-2.184
SNOO_425280A_1	0.142795309	-0.714
SNOO_053730A_1	0.035373023	-2.95
SNOO_439030A_1	0.012862918	-2.741
SNOO_041430A_1	0.06079069	-2.786
SNOO_055880A_1	0.039993446	0.734
SNOO_055880A_2	0.046909803	0.734
SNOO_055880A_3	0.064720302	0.734
SNOO_003160A_1	0.367879441	-3.122
SNOO_164400A_1	0.002373446	-3.212
SNOO_020670A_1	0.01246995	0.484
SNOO_020670A_2	0.011578307	0.484
SNOO_416680A_1	0.038917567	-2.562
SNOO_040860A_1	0.1648291	-2.696
SNOO_427090A_1	0.021842649	-2.786
SNOO_019360A_1	0.367879441	-0.099
SNOO_556360_1	0.004113681	-3.348
SNOO_556360_2	0.035373023	-3.348
SNOO_087910A_1	0.069438875	-2.571
SNOO_087910A_2	0.069438875	-2.571
SNOO_514540_1	0.087889056	-3.046
SNOO_418600A_1	0.1648291	-2.448
SNOO_401260A_1	0.019535181	-2.678
SNOO_401260A_2	0.014696225	-2.678
SNOO_052710A_1	0.032185859	-2.408
SNOO_550980_1	0.045978632	-0.736
SNOO_004030A_1	0.367879441	1.348
SNOO_102290A_1	0.367879441	-2.297
SNOO_160110A_1	0.015235767	-2.252
SNOO_160110A_2	0.011800584	-2.252
SNOO_053850A_1	0.008592054	-3.271
SNOO_546620_1	0.02084246	-3.572
SNOO_546620_2	0.074870157	-3.572
SNOO_444840A_1	0.000439524	-3.489
SNOO_444840A_2	0.00128966	-3.489
SNOO_407850A_1	0.018055767	-0.453
SNOO_407850A_2	0.025859921	-0.453
SNOO_043590A_1	0.030163027	-3.337
SNOO_043590A_2	0.019494577	-3.337
SNOO_114160A_1	0.068305227	-2.971
SNOO_114160A_2	0.022317525	-2.971
SNOO_009140A_1	0.045978632	-3.062
SNOO_503830_1	0.022783452	-3.135
SNOO_140460A_1	0.006178368	-2.452
SNOO_140460A_2	0.036303466	-2.452
SNOO_031610A_1	0.002440998	-3.088
